date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2006-12-07,4018.689941,4018.689941,4018.689941,4018.689941,4018.689941,0,0,0.0,0.0,0.0,"December 07, 06",0.0
2006-12-06,4002.310059,4002.310059,4002.310059,4002.310059,4002.310059,0,0,0.0,0.0,0.0,"December 06, 06",0.0
2006-12-05,4007.939941,4007.939941,4007.939941,4007.939941,4007.939941,0,0,0.0,0.0,0.0,"December 05, 06",0.0
2006-12-04,3962.929932,3962.929932,3962.929932,3962.929932,3962.929932,0,0,0.0,0.0,0.0,"December 04, 06",0.0
2006-12-01,3932.090088,3932.090088,3932.090088,3932.090088,3932.090088,0,0,0.0,0.0,0.0,"December 01, 06",0.0
2006-11-30,3987.22998,3987.22998,3987.22998,3987.22998,3987.22998,0,0,0.0,0.0,0.0,"November 30, 06",0.0
2006-11-29,4023.090088,4023.090088,4023.090088,4023.090088,4023.090088,0,0,0.0,0.0,0.0,"November 29, 06",0.0
2006-11-28,3975.110107,3975.110107,3975.110107,3975.110107,3975.110107,0,0,0.0,0.0,0.0,"November 28, 06",0.0
2006-11-27,3978.25,3978.25,3978.25,3978.25,3978.25,0,0,0.0,0.0,0.0,"November 27, 06",0.0
2006-11-24,4048.159912,4048.159912,4048.159912,4048.159912,4048.159912,0,0,0.0,0.0,0.0,"November 24, 06",0.0
2006-11-23,4085.76001,4085.76001,4085.76001,4085.76001,4085.76001,0,0,0.0,0.0,0.0,"November 23, 06",0.0
2006-11-22,4094.969971,4094.969971,4094.969971,4094.969971,4094.969971,0,0,0.0,0.0,0.0,"November 22, 06",0.0
2006-11-21,4096.060059,4096.060059,4096.060059,4096.060059,4096.060059,0,0,0.0,0.0,0.0,"November 21, 06",0.0
2006-11-20,4095.75,4095.75,4095.75,4095.75,4095.75,0,0,0.0,0.0,0.0,"November 20, 06",0.0
2006-11-17,4080.030029,4080.030029,4080.030029,4080.030029,4080.030029,0,0,0.0,0.0,0.0,"November 17, 06",0.0
2006-11-16,4109.810059,4109.810059,4109.810059,4109.810059,4109.810059,0,0,0.0,0.0,0.0,"November 16, 06",0.0
2006-11-15,4108.830078,4108.830078,4108.830078,4108.830078,4108.830078,0,0,0.0,0.0,0.0,"November 15, 06",0.0
2006-11-14,4084.330078,4084.330078,4084.330078,4084.330078,4084.330078,0,0,0.0,0.0,0.0,"November 14, 06",0.0
2006-11-13,4086.149902,4086.149902,4086.149902,4086.149902,4086.149902,0,0,0.0,0.0,0.0,"November 13, 06",0.0
2006-11-10,4063.840088,4063.840088,4063.840088,4063.840088,4063.840088,0,0,0.0,0.0,0.0,"November 10, 06",0.0
2006-11-09,4073.0,4073.0,4073.0,4073.0,4073.0,0,0,0.0,0.0,0.0,"November 09, 06",0.0
2006-11-08,4073.810059,4073.810059,4073.810059,4073.810059,4073.810059,0,0,0.0,0.0,0.0,"November 08, 06",0.0
2006-11-07,4072.860107,4072.860107,4072.860107,4072.860107,4072.860107,0,0,0.0,0.0,0.0,"November 07, 06",0.0
2006-11-06,4045.219971,4045.219971,4045.219971,4045.219971,4045.219971,0,0,0.0,0.0,0.0,"November 06, 06",0.0
2006-11-03,3990.459961,3990.459961,3990.459961,3990.459961,3990.459961,0,0,0.0,0.0,0.0,"November 03, 06",0.0
2006-11-02,3974.620117,3974.620117,3974.620117,3974.620117,3974.620117,0,0,0.0,0.0,0.0,"November 02, 06",0.0
2006-11-01,4014.340088,4014.340088,4014.340088,4014.340088,4014.340088,0,0,0.0,0.0,0.0,"November 01, 06",0.0
2006-10-31,4004.800049,4004.800049,4004.800049,4004.800049,4004.800049,0,0,0.0,0.0,0.0,"October 31, 06",0.0
2006-10-30,4004.919922,4004.919922,4004.919922,4004.919922,4004.919922,0,0,0.0,0.0,0.0,"October 30, 06",0.0
2006-10-27,4017.27002,4017.27002,4017.27002,4017.27002,4017.27002,0,0,0.0,0.0,0.0,"October 27, 06",0.0
2006-10-26,4027.290039,4027.290039,4027.290039,4027.290039,4027.290039,0,0,0.0,0.0,0.0,"October 26, 06",0.0
2006-10-25,4019.139893,4019.139893,4019.139893,4019.139893,4019.139893,0,0,0.0,0.0,0.0,"October 25, 06",0.0
2006-10-24,4014.01001,4014.01001,4014.01001,4014.01001,4014.01001,0,0,0.0,0.0,0.0,"October 24, 06",0.0
2006-10-23,4019.02002,4019.02002,4019.02002,4019.02002,4019.02002,0,0,0.0,0.0,0.0,"October 23, 06",0.0
2006-10-20,3998.189941,3998.189941,3998.189941,3998.189941,3998.189941,0,0,0.0,0.0,0.0,"October 20, 06",0.0
2006-10-19,3986.820068,3986.820068,3986.820068,3986.820068,3986.820068,0,0,0.0,0.0,0.0,"October 19, 06",0.0
2006-10-18,3991.379883,3991.379883,3991.379883,3991.379883,3991.379883,0,0,0.0,0.0,0.0,"October 18, 06",0.0
2006-10-17,3949.570068,3949.570068,3949.570068,3949.570068,3949.570068,0,0,0.0,0.0,0.0,"October 17, 06",0.0
2006-10-16,4001.969971,4001.969971,4001.969971,4001.969971,4001.969971,0,0,0.0,0.0,0.0,"October 16, 06",0.0
2006-10-13,3999.070068,3999.070068,3999.070068,3999.070068,3999.070068,0,0,0.0,0.0,0.0,"October 13, 06",0.0
2006-10-12,3999.889893,3999.889893,3999.889893,3999.889893,3999.889893,0,0,0.0,0.0,0.0,"October 12, 06",0.0
2006-10-11,3967.389893,3967.389893,3967.389893,3967.389893,3967.389893,0,0,0.0,0.0,0.0,"October 11, 06",0.0
2006-10-10,3960.669922,3960.669922,3960.669922,3960.669922,3960.669922,0,0,0.0,0.0,0.0,"October 10, 06",0.0
2006-10-09,3939.47998,3939.47998,3939.47998,3939.47998,3939.47998,0,0,0.0,0.0,0.0,"October 09, 06",0.0
2006-10-06,3940.310059,3940.310059,3940.310059,3940.310059,3940.310059,0,0,0.0,0.0,0.0,"October 06, 06",0.0
2006-10-05,3939.860107,3939.860107,3939.860107,3939.860107,3939.860107,0,0,0.0,0.0,0.0,"October 05, 06",0.0
2006-10-04,3914.72998,3914.72998,3914.72998,3914.72998,3914.72998,0,0,0.0,0.0,0.0,"October 04, 06",0.0
2006-10-03,3880.139893,3880.139893,3880.139893,3880.139893,3880.139893,0,0,0.0,0.0,0.0,"October 03, 06",0.0
2006-10-02,3892.47998,3892.47998,3892.47998,3892.47998,3892.47998,0,0,0.0,0.0,0.0,"October 02, 06",0.0
2006-09-29,3899.409912,3899.409912,3899.409912,3899.409912,3899.409912,0,0,0.0,0.0,0.0,"September 29, 06",0.0
2006-09-28,3894.97998,3894.97998,3894.97998,3894.97998,3894.97998,0,0,0.0,0.0,0.0,"September 28, 06",0.0
2006-09-27,3896.179932,3896.179932,3896.179932,3896.179932,3896.179932,0,0,0.0,0.0,0.0,"September 27, 06",0.0
